ID-Nummer,UUID-Nummer,Gruppe,BAUMATERIALIEN,"ID-Nummer
Entsorgung",Entsorgung,Dichte/Masse,Bezug,UBP Total,UBP Herstellung,UBP Entsorgung,"PE gesamt, Total","PE gesamt, Herstellung total","PE gesamt, Herstellung energetisch genutzt","PE gesamt, Herstellung stofflich genutzt","PE gesamt, Entsorgung","PE erneuerbar, Total","PE erneuerbar, Herstellung total","PE erneuerbar, Herstellung energetisch genutzt","PE erneuerbar, Herstellung stofflich genutzt","PE erneuerbar, Entsorgung","PE nicht erneuerbar, Total","PE nicht erneuerbar, Herstellung total","PE nicht erneuerbar, Herstellung energetisch genutzt","PE nicht erneuerbar, Herstellung stofflich genutzt","PE nicht erneuerbar, Entsorgung",GWP Total,GWP Entsorgung,GWP Herstellung,Biogener Kohlenstoff,French Name,
05.003,43101D99-1D7B-4082-B62D-BF509227B57E,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm 3",91.044,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm",-,m2,128000,121000,6830,343,338,338,0,4,23,22,22,0,0,320,316,316,0,4,78.3,73.3,4.92,0,"Triple vitrage, U<0.5 W/m2K, épaisseur 36 mm 3","Élimination, vitrage isolant 3-IV, U<0.5 W/m2K, 36 mm d'épaisseur"
05.012,8C429A3C-65E9-423C-BB08-626C4639C97B,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,110000,102000,7680,271,267,267,0,4,16,16,16,0,0,255,251,251,0,4,67.8,62.1,5.7,0,"Triple vitrage, U<0.6 W/m2K, épaisseur 40 mm 3","Élimination, triple vitrage, U<0.6 W/m2K, épaisseur 40 mm"
05.013,D6D60F63-0AC6-4F65-A665-23893EFE55EE,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,143000,135000,7680,386,381,381,0,4,33,32,32,0,0,353,349,349,0,4,83.3,77.6,5.7,0,"Triple vitrage, verre ESG/ESG, U<0.6 W/m2K 3","Élimination, triple vitrage, U<0.6 W/m2K, épaisseur 40 mm"
05.014,9D1F01AD-FA63-4F98-AFF3-157F4000D8B3,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,159000,151000,7680,443,439,439,0,4,41,41,41,0,0,402,398,398,0,4,91.1,85.4,5.7,0,"Triple vitrage, verre ESG/ESG/ESG, U<0.6 W/m2K 3","Élimination, triple vitrage, U<0.6 W/m2K, épaisseur 40 mm"
05.015,14DFC8C9-C915-43A2-AE52-7B78F5948269,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K 3",91.113,"Entsorgung, Isolierverglasung 3-fach, Float/ESG/VSG, Ug-Wert 0.6 W/m2K",-,m2,167000,156000,11500,438,432,432,0,6,27,26,26,0,1,411,406,406,0,5,103,94,8.78,0,"Triple vitrage, verre VSG, U<0.6 W/m2K 3","Élimination, triple vitrage, verre ESG/VSG, U<0.6 W/m2K"
05.016,C17242EF-5C5D-430E-A900-4449A1BC8082,"Fenster, Sonnenschutz, Fassadenverkleidungen","Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K 3",91.113,"Entsorgung, Isolierverglasung 3-fach, Float/ESG/VSG, Ug-Wert 0.6 W/m2K",-,m2,185000,174000,11500,500,494,494,0,6,35,35,35,0,1,464,459,459,0,5,111,103,8.78,0,"Triple vitrage, verre ESG/VSG, U<0.6 W/m2K 3","Élimination, triple vitrage, verre ESG/VSG, U<0.6 W/m2K"
05.020,8A64F51B-96D1-418F-8698-65A2DFC2F6E0,"Fenster, Sonnenschutz, Fassadenverkleidungen",Putztraegerplatte kunstharzgebunden 13 mm,91.116,"Entsorgung, Putztraegerplatte kunstharzgebunden",6.3,m2,16600,16400,268,47.9,48,48,0,0,3.58,4,4,0,0,44.3,44,44,0,0,8.11,8.03,0.0799,0,"Panneau de support de crépis, liant en résine synthétique, 13 mm","Élimination, panneau de support de crépis, liant en résine synthétique"
05.021,A2E56139-B17E-48D2-AA28-1FBBBDE730B0,"Fenster, Sonnenschutz, Fassadenverkleidungen",Putztraegerplatte mineralisch gebunden 12.5 mm,91.117,"Entsorgung, Putztraegerplatte mineralisch gebunden",14.4,m2,9910,9300,612,21.5,21,21,0,1,2.43,2,2,0,0,19.1,18,18,0,1,6.31,6.12,0.183,0,"Panneau de support de crépis, liant en matière minérale, 12,5 mm","Élimination, panneau de support de crépis, liant en matière minérale"
05.026,bbb96c85-8f12-4104-b774-2203f3d542e6,"Fenster, Sonnenschutz, Fassadenverkleidungen","Rahmenverbreiterung, PVC",91.17,"Entsorgung, Rahmenverbreiterung, PVC",15,m2,99700,66500,33300,348,335,239,96,14,41.8,41,33,8,1,306,294,206,88,13,69.7,39.5,30.1,1,"Élargissement du cadre, PVC","Élimination, élargissement du cadre, PVC"
05.027,9430b1e1-54b2-4105-8516-8c4ae46612d8,"Fenster, Sonnenschutz, Fassadenverkleidungen","Rahmenverbreiterung, Spanplatte",91.171,"Entsorgung, Rahmenverbreiterung, Spanplatte",17.8,m2,43500,35900,7590,218,215,127,88,4,94.4,94,35,59,0,124,121,92,29,4,26.1,19.5,6.59,7,"Élargissement du cadre, panneau de particules","Élimination, élargissement du cadre, plaque de serrage"
05.018,E236578E-CD94-4A5B-8102-258340AD9D3E,"Fenster, Sonnenschutz, Fassadenverkleidungen","Sonnenschutz, Ausstellstoren motorisiert 4",91.104,"Entsorgung, Sonnenschutz, Ausstellstoren motorisiert",-,m2,150000,148000,2110,318,318,314,4,1,35,35,35,0,0,283,282,278,4,1,68,66,2,0,"Protection solaire, stores à projection avec moteur 4","Élimination, protection solaire, stores à projection avec moteur"
05.017,9E4B8BDA-989A-484D-BFB1-E6CB90491CC4,"Fenster, Sonnenschutz, Fassadenverkleidungen","Sonnenschutz, Lamellenstoren motorisiert 4",91.115,"Entsorgung, Sonnenschutz, Lamellenstoren motorisiert",-,m2,133000,131000,1620,281,280,280,0,0,32,32,32,0,0,249,248,248,0,0,60,59,1,0,"Protection solaire, stores vénitiens avec moteur 4","Élimination, protection solaire, stores vénitiens avec moteur"
05.019,D69BFDA2-373D-4794-BF31-42FAD621E4FB,"Fenster, Sonnenschutz, Fassadenverkleidungen","Sonnenschutz, Rollladen motorisiert 4",91.118,"Entsorgung, Sonnenschutz, Rollladen motorisiert",-,m2,168000,167000,799,357,357,357,0,0,44,44,44,0,0,313,313,313,0,0,75,74,1,0,"Protection solaire, contrevent sur enrouleur avec moteur 4","Élimination, protection solaire, contrevent sur enrouleur avec moteur"
06.001,122994E0-6AE3-48F8-97C2-633125609F3E,Metallbaustoffe ,"Aluminiumblech, blank",91.141,"Entsorgung, Nichteisenmetalle",2690,kg,12500,12500,19.8,30,30,30,0,0,5,5,5,0,0,25,25,25,0,0,5.58,5.57,0.00792,0,"Tôle d'aluminium, nue","Élimination, métaux non ferreux"
06.002,9D19FB5F-33F0-44B4-9489-B6E224103955,Metallbaustoffe ,"Aluminiumprofil, blank",91.141,"Entsorgung, Nichteisenmetalle",2690,kg,11500,11400,19.8,31,31,31,0,0,5,5,5,0,0,26,26,26,0,0,5.69,5.69,0.00792,0,"Profil d'aluminium, nu","Élimination, métaux non ferreux"
06.002.01,C956DDE7-29FC-4FE5-A965-177615E14D14,Metallbaustoffe ,"Aluminiumprofil blank, WICONA, hergestellt mit Hydro CIRCAL 75R",91.141,"Entsorgung, Nichteisenmetalle",2690,kg,12700,12700,20,13.1,13,13,0,0,4.3,4,4,0,0,8.9,9,9,0,0,2.67,2.66,0.01,0,"Profil d'aluminium, nu, WICONA, fabriqué avec Hydro CIRCAL 75R","Élimination, métaux non ferreux"
06.003,1F33844F-91D2-4363-B328-904E15110A1C,Metallbaustoffe ,Armierungsstahl,91.142,"Entsorgung, Armierungsstahl",7850,kg,1590,1570,19.5,3.8,4,4,0,0,0.4,0,0,0,0,3.4,3,3,0,0,0.785,0.773,0.0122,0,Acier d'armature,"Élimination, acier d'armature"
06.014,1483FF58-F07C-4ED4-A422-3E72A667D1A7,Metallbaustoffe ,Blei,91.141,"Entsorgung, Nichteisenmetalle",11340,kg,3810,3790,19.8,4.1,4,4,0,0,0.2,0,0,0,0,3.8,4,4,0,0,1.02,1.01,0.00792,0,Plomb,"Élimination, métaux non ferreux"
06.004,0FE00428-0CF6-4CC1-A4B1-BA186F56D57E,Metallbaustoffe ,Chromnickelstahlblech 18/8 blank,91.143,"Entsorgung, Stahl",7900,kg,9700,9690,11.1,16.9,17,17,0,0,2.4,2,2,0,0,14.6,15,15,0,0,4.12,4.11,0.00693,0,"Tôle d'acier nickel-chrome 18/8, nue","Élimination, acier"
06.005,7AD1957E-FC33-43A8-88F8-2A4DD83A362A,Metallbaustoffe ,Chromnickelstahlblech 18/8 verzinnt,91.143,"Entsorgung, Stahl",7900,kg,13000,13000,11.1,24.9,25,25,0,0,2.7,3,3,0,0,22.3,22,22,0,0,5.87,5.87,0.00693,0,Tôle d'acier nickel-chrome étamée 18/8,"Élimination, acier"
06.006,75CC3E80-7E5F-4E12-898A-03966A87E3E6,Metallbaustoffe ,Chromstahlblech blank,91.143,"Entsorgung, Stahl",7700,kg,7070,7060,11.1,9.5,9,9,0,0,1,1,1,0,0,8.5,9,9,0,0,2.74,2.73,0.00693,0,"Tôle d'acier chromé, nue","Élimination, acier"
06.007,4594A8BF-8167-4183-9A45-CB64DF6D95B8,Metallbaustoffe ,Chromstahlblech verzinnt,91.143,"Entsorgung, Stahl",7700,kg,10400,10400,11.1,17.5,17,17,0,0,1.2,1,1,0,0,16.2,16,16,0,0,4.49,4.48,0.00693,0,"Tôle d'acier chromé, étamée","Élimination, acier"
06.008,92E11D9B-9BC5-4032-BB06-2082CE3D8AFD,Metallbaustoffe ,"Kupferblech, blank",91.141,"Entsorgung, Nichteisenmetalle",8900,kg,24500,24500,19.8,10.5,11,11,0,0,1.6,2,2,0,0,8.9,9,9,0,0,2.2,2.2,0.00792,0,"Tôle de cuivre, nue","Élimination, métaux non ferreux"
06.009,EB9E1E6E-6F40-4CB7-B373-5D66FD146CF5,Metallbaustoffe ,Messing-/Baubronzeblech,91.141,"Entsorgung, Nichteisenmetalle",8300,kg,25500,25400,19.8,13,13,13,0,0,1.9,2,2,0,0,11.1,11,11,0,0,2.71,2.7,0.00792,0,Tôle de laiton/bronze de construction,"Élimination, métaux non ferreux"
06.010,38C1572A-3CE8-47C0-B24E-5E924A8AD97E,Metallbaustoffe ,"Stahlblech, blank",91.143,"Entsorgung, Stahl",7850,kg,5260,5250,11.1,8.4,8,8,0,0,0.6,1,1,0,0,7.8,8,8,0,0,2.8,2.79,0.00693,0,Tôle d'acier nue,"Élimination, acier"
06.011,68F8D468-2A49-430A-A94A-A3073A85B029,Metallbaustoffe ,"Stahlblech, verzinkt",91.143,"Entsorgung, Stahl",7850,kg,15200,15200,11.1,17,17,17,0,0,1.4,1,1,0,0,15.6,16,16,0,0,4.49,4.48,0.00693,0,"Tôle d'acier, zinguée","Élimination, acier"
06.012,4DC70979-B6CA-4DA5-A291-6F1A082EE475,Metallbaustoffe ,"Stahlprofil, blank",91.143,"Entsorgung, Stahl",7850,kg,1290,1280,11.1,3.6,4,4,0,0,0.2,0,0,0,0,3.4,3,3,0,0,0.736,0.729,0.00693,0,"Profil en acier, nu","Élimination, acier"
06.013,3A017EE3-8EAE-4957-9976-39EA72157918,Metallbaustoffe ,Titanzinkblech,91.141,"Entsorgung, Nichteisenmetalle",7200,kg,27800,27800,19.8,20,20,20,0,0,2.6,3,3,0,0,17.5,17,17,0,0,4.02,4.02,0.00792,0,Tôle zinc-titane,"Élimination, métaux non ferreux"
07.001,BBA9796B-B084-473D-B362-E703FAD37CAA,Holz und Holzwerkstoffe,3- und 5-Schicht Massivholzplatte,91.048,"Entsorgung, Dreischichtplatte",453,kg,1010,932,80.3,15.4,15,10,5,0,13.3,13,8,5,0,2.2,2,2,0,0,0.469,0.414,0.055,0,Bois massif 3 et 5 plis,"Élimination, panneau tricouche"
07.021,f346cb73-61fb-4468-b500-3bfc161d80a6,Holz und Holzwerkstoffe,Balkenschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,789,716,73.8,10.1,10,5,5,0,8.6,9,3,5,0,1.6,1,1,0,0,0.342,0.293,0.049,0,Bois d'équarrissage,"Élimination, lamellé-collé"
07.003,75F8C2B2-0B4E-4243-93D6-9D8B721B4D12,Holz und Holzwerkstoffe,Brettschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,769,695,73.8,9.7,10,4,5,0,8.1,8,3,5,0,1.53,1,1,0,0,0.335,0.285,0.049,0,Bois lamellé-collé,"Élimination, lamellé-collé"
07.003.01,5D0AAC66-9661-4D7A-A239-8A8931B4CFF3,Holz und Holzwerkstoffe,"Brettschichtholz, Produktion Schweiz",91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,680,606,74,9.2,9,4,5,0,8,8,3,5,0,1.2,1,1,0,0,0.25,0.204,0.05,0.45,"Bois lamellé-collé, colle MF, zone humide, production Suisse","Élimination, lamellé-collé"
07.002,1095B95F-6036-45CA-B450-7A3A8E1897BB,Holz und Holzwerkstoffe,Brettschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,769,695,73.8,9.7,10,4,5,0,8.1,8,3,5,0,1.53,1,1,0,0,0.335,0.285,0.049,0.446,Bois lamellé-collé,"Élimination, lamellé-collé"
07.002.01,D6C6F539-93DD-4C07-AF40-3EF6321D4FBD,Holz und Holzwerkstoffe,"Brettschichtholz, Produktion Schweiz",91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,680,606,74,9.2,9,4,5,0,8,8,3,5,0,1.2,1,1,0,0,0.25,0.204,0.05,0.45,"Bois lamellé-collé, colle UF, zone sèche, production Suisse","Élimination, lamellé-collé"
07.020,83c72ece-6641-4675-97f0-a6236caf7e7f,Holz und Holzwerkstoffe,Brettsperrholz,91.145,"Entsorgung, Spanplatte, 10% Bindemittel",436,kg,882,775,106,9.9,10,5,5,0,8.1,8,3,5,0,1.8,2,2,0,0,0.395,0.315,0.08,0.449,Contreplaqué de planches,"Élimination, plaque de serrage, agent liant 10 %"
07.020.01,25754a33-5165-4d33-b2d2-e8422557b849,Holz und Holzwerkstoffe,"Brettsperrholz, Produktion Schweiz",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",424,kg,744,638,106,7.3,7,2,5,0,5.7,6,1,5,0,1.6,2,1,0,0,0.281,0.201,0.08,0.448,"Contreplaqué de placage, production Suisse","Élimination, plaque de serrage, agent liant 10 %"
07.022,b914b5f8-ce92-4da0-8c94-055ee668b154,Holz und Holzwerkstoffe,Furniersperrholz,91.145,"Entsorgung, Spanplatte, 10% Bindemittel",823,kg,1970,1860,106,14.3,14,9,5,0,9.2,9,5,5,0,5.1,5,4,1,0,1.02,0.942,0.08,0,Contreplaqué de placage,"Élimination, plaque de serrage, agent liant 10 %"
07.004,99B2F7E4-22F3-4C8E-9C76-D3CBADA830E2,Holz und Holzwerkstoffe,Hartfaserplatte,91.049,"Entsorgung, Holzfaserplatte hart",955,kg,1770,1700,68.3,11.2,11,6,5,0,7,7,2,5,0,4.1,4,4,0,0,1.07,1.03,0.044,0,Panneau de particules dur,"Élimination, panneau de fibres dur"
07.005,C916FBF8-EB8F-43A7-9D11-9E92CF9F083D,Holz und Holzwerkstoffe,"Holzwolle-Leichtbauplatte, zementgebunden",91.144,"Entsorgung, Verbundmaterialien, organisch-mineralisch",400,kg,770,685,85.2,3.3,3,2,2,0,2,2,0,2,0,1.27,1,1,0,0,0.534,0.498,0.0357,0,Panneau de bois léger à paille de bois liée par du ciment,"Élimination, matériaux composites, organique-minéral"
07.023,dff243df-ce92-429c-b6f4-a1e3ca114b16,Holz und Holzwerkstoffe,Konstruktionsvollholz,91.049,"Entsorgung, Holzfaserplatte hart",436,kg,688,620,68.3,9.5,9,4,5,0,8.3,8,3,5,0,1.24,1,1,0,0,0.288,0.244,0.0441,0,Bois massif de construction,"Élimination, panneau de fibres dur"
07.008,5452FFFF-13C9-4D8B-803B-E644F35A3325,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,436,373,62.9,7.9,8,3,5,0,7.3,7,2,5,0,0.66,1,1,0,0,0.152,0.113,0.039,0,"Bois massif hêtre / chêne, séché en cellule, raboté","Élimination, bois et matériaux dérivés, bois massif"
07.008.01,348B6926-0D2A-4820-AA05-C815FE65A421,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,396,333,63,8,8,3,5,0,7.4,7,2,5,0,0.6,0,0,0,0,0.12,0.083,0.04,0.45,"Bois massif hêtre / chêne, séché en cellule, raboté, production Suisse","Élimination, bois et matériaux dérivés, bois massif"
07.007,9AC95A58-6438-48B7-BB6A-B07B6F4CFB6A,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, kammergetrocknet, rau",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,391,328,62.9,7.7,8,3,5,0,7.1,7,2,5,0,0.57,0,0,0,0,0.135,0.096,0.039,0,"Bois massif hêtre, chêne, séché en cellule, brut","Élimination, bois et matériaux dérivés, bois massif"
07.007.01,698D8A43-8983-432E-A51B-D90C9BA23AC1,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,355,292,63,7.7,8,3,5,0,7.2,7,2,5,0,0.5,0,0,0,0,0.11,0.07,0.04,0.45,"Bois massif hêtre, chêne, séché en cellule, brut, production Suisse","Élimination, bois et matériaux dérivés, bois massif"
07.006,531C8578-0D4B-469A-ACE5-8E3A536FC47C,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, luftgetrocknet, rau",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",705,kg,322,260,62.9,6.7,7,2,5,0,6.2,6,2,5,0,0.48,0,0,0,0,0.12,0.0812,0.039,0,"Bois massif hêtre / chêne, séché à l'air, brut","Élimination, bois et matériaux dérivés, bois massif"
07.006.01,F9547BDA-290C-44C5-8794-C921A2DED0BA,Holz und Holzwerkstoffe,"Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",705,kg,290,227,63,6.7,7,2,5,0,6.3,6,2,5,0,0.4,0,0,0,0,0.1,0.059,0.04,0.41,"Bois massif hêtre / chêne, séché à l'air, brut, production Suisse","Élimination, bois et matériaux dérivés, bois massif"
07.011,3D89DC7F-1638-4C94-AFA8-DC31CAC210BC,Holz und Holzwerkstoffe,"Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",465,kg,476,413,62.9,6.8,7,2,5,0,6.1,6,1,5,0,0.78,1,1,0,0,0.173,0.134,0.039,0,"Bois massif épicéa / sapin / mélèze, séché en cellule, raboté","Élimination, bois et matériaux dérivés, bois massif"
07.011.01,D122C786-0887-4B71-BEBD-513955B5F184,Holz und Holzwerkstoffe,"Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",465,kg,459,396,63,6.7,7,1,5,0,5.9,6,1,5,0,0.7,1,1,0,0,0.16,0.117,0.04,0.45,"Bois massif épicéa / sapin / mélèze, séché en cellule, raboté, production Suisse","Élimination, bois et matériaux dérivés, bois massif"
07.011.02,C4DE94C2-36D6-4BB9-9753-228622401A82,Holz und Holzwerkstoffe,"Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",420,kg,432,369,63,10.5,10,5,5,0,10,10,5,5,0,0.5,0,0,0,0,0.13,0.095,0.04,0.45,"Bois massif épicéa / sapin, séché en cellule, holzpur","Élimination, bois et matériaux dérivés, bois massif"
07.010,C6FE17BA-12BD-4454-B0F0-74CA8C665D6B,Holz und Holzwerkstoffe,"Massivholz Fichte / Tanne / Laerche, luftgetr., gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",485,kg,400,337,62.9,5.9,6,1,5,0,5.2,5,0,5,0,0.67,1,1,0,0,0.156,0.117,0.039,0,"Bois massif épicéa / sapin / mélèze, séché à l'air, raboté","Élimination, bois et matériaux dérivés, bois massif"
